Loc | Stat/Teritoriu | Populație 
1 |  Republica Populară Chineză[Note 1] | 1.410.570.000 
2 |  India[Note 2] | 1.384.210.000 
3 |  SUA[Note 3] | 330.425.184 
4 |  Indonezia | 271.350.000 
5 |  Pakistan | 225.200.000 
6 |  Brazilia | 213.881.000 
7 |  Nigeria | 211.401.000 
8 |  Bangladesh | 171.680.000 
9 |  Rusia[Note 4] | 146.238.185 
10 |  Mexic | 126.014.024 
11 |  Japonia | 125.210.000 
12 |  Etiopia | 117.876.000 
13 |  Filipine | 111.011.000 
14 |  Egipt | 102.715.000 
15 |  Vietnam | 97.580.000 
16 |  RD Congo | 92.378.000 
17 |  Iran | 84.935.200 
18 |  Turcia | 83.614.362 
19 |  Germania | 83.129.285 
20 |  Franța[Note 5] | 67.486.000 
21 |  Regatul Unit[Note 6] | 67.081.234 
22 |  Thailanda | 66.716.500 
23 |  Africa de Sud | 60.142.978 
24 |  Tanzania[Note 7] | 59.441.988 
25 |  Italia | 59.108.671 
26 |  Myanmar | 55.294.979 
27 |  Coreea de Sud | 51.705.905 
28 |  Columbia | 51.049.498 
29 |  Kenya | 47.564.296 
30 |  Spania | 47.351.567 
31 |  Argentina | 45.808.747 
32 |  Algeria | 44.700.000 
33 |  Sudan | 43.217.895 
34 |  Uganda | 42.885.900 
35 |  Ucraina | 41.527.205 
36 |  Irak | 41.190.700 
37 |  Canada | 38.666.900 
38 |  Polonia | 38.230.000 
39 |  Maroc[Note 8] | 36.423.700 
40 |  Uzbekistan | 34.685.637 
41 |  Arabia Saudită | 34.218.169 
42 |  Peru | 33.035.304 
43 |  Afghanistan | 32.890.171 
44 |  Malaysia | 32.841.600 
45 |  Angola | 32.097.671 
46 |  Ghana | 30.955.202 
47 |  Mozambic | 30.832.244 
48 |  Yemen | 30.491.000 
49 |  Nepal | 30.378.055 
50 |  Venezuela | 28.435.943 
51 |  Côte d'Ivoire | 27.087.732 
52 |  Madagascar | 26.923.353 
53 |  Australia | 25.896.400 
54 |  Coreea de Nord | 25.660.000 
55 |  Camerun | 24.348.251 
56 |  Niger | 24.112.753 
- |  Republica China (Taiwan)[2] | 23.539.588 
57 |  Sri Lanka | 21.919.000 
58 |  Burkina Faso | 21.510.181 
59 |  Mali | 20.856.000 
60 |  Chile | 19.678.363 
61 |  România | 19.317.984 
62 |  Malawi | 18.898.441 
63 |  Kazakhstan | 18.867.280 
64 |  Zambia | 18.400.556 
65 |  Siria | 18.276.000 
66 |  Ecuador | 17.854.200 
67 |  Țările de Jos | 17.656.800 
68 |  Senegal | 17.223.497 
69 |  Guatemala | 17.109.746 
70 |  Ciad | 16.818.391 
71 |  Somalia[1] | 16.360.000 
72 |  Zimbabwe | 15.790.716 
73 |  Cambodgia | 15.288.489 
74 |  Sudanul de Sud | 13.249.924 
75 |  Rwanda | 12.955.768 
76 |  Guinea | 12.907.395 
77 |  Burundi | 12.574.571 
78 |  Benin | 12.506.347 
79 |  Bolivia | 11.797.257 
80 |  Haiti | 11.743.017 
81 |  Tunisia | 11.708.370 
82 |  Belgia | 11.556.142 
83 |  Cuba | 11.193.470 
84 |  Iordania | 11.075.100 
85 |  Grecia | 10.718.565 
86 |  Cehia | 10.707.839 
87 |  Republica Dominicană | 10.535.535 
88 |  Suedia | 10.380.245 
89 |  Portugalia | 10.295.909 
90 |  Azerbaijan | 10.123.400 
91 |  Ungaria | 9.731.000 
92 |  Honduras | 9.450.711 
93 |  Belarus | 9.408.400 
94 |  Emiratele Arabe Unite | 9.366.829 
95 |  Israel[2] | 9.459.700 
96 |  Tajikistan | 9.313.800 
97 |  Papua Noua Guinee | 8.935.000 
98 |  Austria | 8.933.346 
99 |  Elveția | 8.655.100 
100 |  Sierra Leone | 8.297.882 
101 |  Togo | 7.886.000 
102 |  Paraguay | 7.353.038 
103 |  Laos | 7.337.783 
104 |  Libia | 6.959.000 
105 |  Bulgaria | 6.951.482 
106 |  Serbia[Note 9] | 6.926.705 
107 |  El Salvador | 6.825.935 
108 |  Liban | 6.769.000 
109 |  Kîrgîzstan | 6.626.800 
110 |  Nicaragua | 6.527.691 
111 |  Turkmenistan | 6.118.000 
112 |  Danemarca | 5.840.045 
113 |  Singapore | 5.685.807 
114 |  Congo | 5.657.000 
115 |  Republica Centrafricană | 5.633.412 
116 |  Finlanda | 5.506.029 
117 |  Slovacia | 5,464,060 
118 |  Norvegia | 5.384.576 
119 |  Palestina | 5.227.193 
120 |  Costa Rica | 5.163.038 
121 |  Noua Zeelandă | 5.124.820 
122 |  Irlanda | 4.977.400 
123 |  Liberia | 4.661.010 
124 |  Oman | 4.471.148 
125 |  Kuwait | 4.464.521 
126 |  Panama | 4.278.500 
127 |  Mauritania | 4.271.197 
128 |  Croația | 4.058.165 
129 |  Georgia[Note 10] | 3.716.858 
130 |  Eritreea | 3.601.000 
131 |  Uruguay | 3.554.915 
132 |  Mongolia | 3.363.039 
133 |  Bosnia și Herțegovina | 3.332.593 
– |  Puerto Rico (SUA) | 3.193.694 
134 |  Armenia | 2.967.900 
135 |  Albania | 2.845.955 
136 |  Lituania | 2.795.175 
137 |  Jamaica | 2.734.093 
138 |  Qatar | 2.717.360 
139 |  Moldova[Note 11] | 2.640.438 
140 |  Namibia | 2.550.226 
141 |  Botswana | 2.410.338 
142 |  Gambia | 2.335.504 
143 |  Gabon | 2.233.272 
144 |  Slovenia | 2.097.195 
145 |  Macedonia de Nord | 2.076.255 
146 |  Lesotho | 2.007.201 
147 |  Letonia | 1.893.700 
– |  Kosovo [Note 12] | 1.782.115 
148 |  Guinea-Bissau | 1.646.077 
149 |  Bahrain | 1.483.756 
150 |  Guineea Ecuatorială | 1.454.789 
151 |  Trinidad-Tobago | 1.366.725 
152 |  Estonia | 1.329.460 
153 |  Timorul de Est | 1.317.780 
154 |  Mauritius | 1.266.000 
155 |  Eswatini | 1.093.238 
156 |  Djibouti | 962.452 
157 |  Fiji | 889.327 
158 |  Cipru | 888.005 
159 |  Comore | 758.316 
160 |  Bhutan | 756.129 
161 |  Guyana | 744,962 
162 |  Insulele Solomon | 694.619 
– |  Macau (China) | 685.400 
163 |  Luxemburg | 626.108 
164 |  Muntenegru | 621.873 
– |  Sahara Occidentală[Note 13] | 597.000 
165 |  Surinam | 590.100 
166 |  Capul Verde | 556.857 
167 |  Malta | 514.564 
– |  Transnistria[Note 14] | 469.000 
168 |  Brunei | 459.500 
